date,spy_close,sma_200,pct_above_sma,trend_score,fed_assets,tga,rrp,net_liquidity,liq_slope_20d,liq_slope_pct,liquidity_score,vix,hy_spread,vix_score,spread_score,risk_appetite_score,score,category
2018-03-22,263.67,264.3705,-0.2649690491185578,48.67546471911183,4401.222,316.454,20.586,4064.182,-9.842618181818116,-0.24217956237732752,3.035815154817101e-09,17.86,3.6,30.349999999999998,34.0,64.35,45.2,neutral
2018-03-23,258.05,264.42154999999997,-2.409618278086622,38.179798497471765,4401.222,316.454,11.592,4073.1759999999995,-10.80135757575755,-0.2651826873122485,3.042757157345477e-10,23.34,3.7,16.65,32.99999999999999,49.64999999999999,35.1,bear
2018-03-24,258.05,264.48150000000004,-2.431739081939579,38.07543053905408,4401.222,316.454,10.45,4074.3179999999998,-10.194563636363634,-0.25021521727964374,1.359225620944926e-09,24.87,3.74,12.824999999999998,32.599999999999994,45.42499999999999,33.4,bear
2018-03-25,258.05,264.53725,-2.4523011409546145,37.97851556508367,4401.222,316.454,10.45,4074.3179999999998,-11.17938181818184,-0.2743865799915922,1.212114852933155e-10,24.87,3.74,12.824999999999998,32.599999999999994,45.42499999999999,33.4,bear
2018-03-26,265.11,264.62845,0.18197211977775898,50.909760182224325,4401.222,316.454,10.45,4074.3179999999998,-11.136648484848523,-0.2733377336979716,1.3461232128975098e-10,24.87,3.74,12.824999999999998,32.599999999999994,45.42499999999999,38.5,bear
2018-03-27,260.6,264.69855,-1.5483840013479442,42.31936302156776,4401.222,316.454,5.921,4078.8469999999998,-10.321690909090943,-0.25305413292263584,1.0232952263322659e-09,21.03,3.73,22.424999999999994,32.7,55.125,39.0,bear
2018-03-28,259.83,264.7648,-1.8638429277607886,40.78722034705872,4401.222,316.454,9.62,4075.1479999999997,-8.881806060606092,-0.2179505151863464,3.423965466708978e-08,22.5,3.75,18.75,32.5,51.25,36.8,bear
2018-03-29,263.15,264.84765,-0.640991150950371,46.79942644023577,4392.198,318.858,17.898,4055.442,-7.645266666666672,-0.18851870318122346,6.49735724778111e-07,22.87,3.77,17.824999999999996,32.300000000000004,50.125,38.8,bear
2018-03-30,263.15,264.91735,-0.6671325981480721,46.66927684810658,4392.198,318.858,17.898,4055.442,-5.134339393939373,-0.12660369434304258,0.00031744613016826406,19.97,3.79,25.075000000000003,32.1,57.175000000000004,41.5,bear
2018-03-31,263.15,264.98285,-0.6916862732814624,46.54707348899968,4392.198,318.858,17.898,4055.442,-1.7585393939393532,-0.043362459478876854,1.291653982927933,19.97,3.79,25.075000000000003,32.1,57.175000000000004,41.7,bear
