trade_id,y_max,MAE,y_actual,regret,nATR,structural_stop,is_survivor,y_max_survivor
1906,19.539514623522095,-5.444928438083386,8.649657747355324,10.889856876166771,2.9913770112898916,-5.982754022579783,True,19.539514623522095
1907,6.409931593615408,-8.51279452748923,-3.6736762097795688,10.083607803394976,2.5715733468457023,-5.1431466936914045,False,-8.51279452748923
1908,14.481409001956932,-3.778413367454471,6.028902604245062,8.452506397711868,2.0176985441173314,-4.035397088234663,True,14.481409001956932
1909,0.651912849545381,-2.5047177903585536,-2.316006176016472,2.967919025561853,1.9937259515231707,-3.9874519030463413,True,0.651912849545381
1910,27.17321313586607,-0.9175788795878949,16.934964584674827,10.238248551191244,1.5936896329684491,-3.1873792659368982,True,27.17321313586607
1911,23.064250411861607,-3.459637561779241,3.7891268533772573,19.27512355848435,3.683219581077897,-7.366439162155794,True,23.064250411861607
1912,0.31047135196161285,-15.777589613322043,-15.735252610781822,16.045723962743434,2.8106931172130136,-5.621386234426027,False,-15.777589613322043
1913,40.5440414507772,-6.34715025906735,15.02590673575131,25.51813471502589,3.3122686898593634,-6.624537379718727,True,40.5440414507772
1914,11.334436825096551,-1.0167888389690283,3.026720264838026,8.307716560258525,1.74250357508811,-3.48500715017622,True,11.334436825096551
1915,14.906978569746443,-3.665907842059818,3.2969620849360255,11.610016484810417,2.441406030973501,-4.882812061947002,True,14.906978569746443
1916,0.3433381326835619,-5.194373684793456,-1.8163694761324627,2.1597076088160247,1.2080122778982008,-2.4160245557964015,False,-5.194373684793456
1917,4.266572637517633,-8.533145275035254,-7.299012693935121,11.565585331452755,2.9077674793471697,-5.8155349586943395,False,-8.533145275035254
1918,0.9374999999999986,-6.28472222222223,-4.470486111111116,5.407986111111114,1.5649801587301595,-3.129960317460319,False,-6.28472222222223
1919,1.4475557664926422,-7.712387280493593,-5.280018984337924,6.727574750830566,2.0323411756729297,-4.064682351345859,False,-7.712387280493593
