fold,test_year,k_sl,k_tp,min_tp,max_time,train_expectancy,train_win_rate,train_ignition_score,test_expectancy,test_risk_adj_return,test_win_rate,test_loss_rate,test_time_rate,test_avg_days,test_risk_reward,test_ignition_score,test_avg_win,test_avg_time,test_trades
5,2025,1.0,3.0,0.2,60,-0.0010990540551173295,0.04991596638655462,2.1312435765346724,0.008320917505491944,0.18979673349818404,0.058703420112302195,0.5492598264420623,0.39203675344563554,11.047983665135273,4.669864632081086,2.042575664246492,0.25968242505649536,0.060249405018016323,1959
5,2025,2.0,3.0,0.2,30,-0.0004305276153936319,0.05714285714285714,2.033805785607724,0.012500829772728882,0.218559981309092,0.06840224604389995,0.3333333333333333,0.5982644206227667,14.413476263399694,2.868456972264773,2.0124959308943264,0.2654217521696174,0.04210365292911765,1959
5,2025,2.0,3.0,0.2,45,-0.00043027557602631425,0.05714285714285714,2.033800687393819,0.012502122815426446,0.2185129391412973,0.06840224604389995,0.3333333333333333,0.5982644206227667,14.418070444104135,2.868456972264773,2.012477460284947,0.2654217521696174,0.04210581425219318,1959
5,2025,2.0,3.0,0.2,60,-0.00043027557602631425,0.05714285714285714,2.033800687393819,0.012502122815426446,0.2185129391412973,0.06840224604389995,0.3333333333333333,0.5982644206227667,14.418070444104135,2.868456972264773,2.012477460284947,0.2654217521696174,0.04210581425219318,1959
1,2021,1.0,4.0,0.2,30,0.006492247309515545,0.04750479846449136,2.3848961779082494,0.02080269221622097,0.44125876601378256,0.08028169014084507,0.5557746478873239,0.363943661971831,11.880281690140846,6.052894494676134,2.0020659357803914,0.28466960964847354,0.0661838657336192,3550
1,2021,1.0,4.0,0.2,45,0.006492247309515545,0.04750479846449136,2.3848961779082494,0.02080269221622097,0.44125876601378256,0.08028169014084507,0.5557746478873239,0.363943661971831,11.880281690140846,6.052894494676134,2.0020659357803914,0.28466960964847354,0.0661838657336192,3550
1,2021,1.0,4.0,0.2,60,0.006492247309515545,0.04750479846449136,2.3848961779082494,0.02080269221622097,0.44125876601378256,0.08028169014084507,0.5557746478873239,0.363943661971831,11.880281690140846,6.052894494676134,2.0020659357803914,0.28466960964847354,0.0661838657336192,3550
3,2023,1.0,3.0,0.2,30,0.004454378278783085,0.06007784735149772,2.110629108507922,0.012186085288171602,0.27621242092555087,0.05987741631305988,0.553983969825554,0.38613861386138615,11.117868929750118,5.14557901452798,2.001169520396815,0.23282612013342177,0.06037110177743879,2121
3,2023,1.0,3.0,0.2,45,0.004454378278783085,0.06007784735149772,2.110629108507922,0.012186085288171602,0.27621242092555087,0.05987741631305988,0.553983969825554,0.38613861386138615,11.117868929750118,5.14557901452798,2.001169520396815,0.23282612013342177,0.06037110177743879,2121
3,2023,1.0,3.0,0.2,60,0.004454378278783085,0.06007784735149772,2.110629108507922,0.012186085288171602,0.27621242092555087,0.05987741631305988,0.553983969825554,0.38613861386138615,11.117868929750118,5.14557901452798,2.001169520396815,0.23282612013342177,0.06037110177743879,2121
5,2025,1.5,3.0,0.2,30,-0.0009079571081472317,0.05394957983193277,2.0630988796089333,0.010200117187745508,0.1982234953288962,0.0638080653394589,0.4349157733537519,0.5012761613067892,12.967330270546197,3.541511481338022,2.000805200760207,0.26509429337417134,0.05154823630600311,1959
5,2025,1.5,3.0,0.2,45,-0.000907705068779914,0.05394957983193277,2.063092211864051,0.010201410230443072,0.19817841120897098,0.0638080653394589,0.4349157733537519,0.5012761613067892,12.971924451250638,3.541511481338022,2.00078159146261,0.26509429337417134,0.05155081580767778,1959
5,2025,1.5,3.0,0.2,60,-0.000907705068779914,0.05394957983193277,2.063092211864051,0.010201410230443072,0.19817841120897098,0.0638080653394589,0.4349157733537519,0.5012761613067892,12.971924451250638,3.541511481338022,2.00078159146261,0.26509429337417134,0.05155081580767778,1959
1,2021,2.0,4.0,0.2,30,0.010356808582152141,0.056861804222648756,2.254445940665128,0.024839137896576827,0.40695736062629584,0.08816901408450704,0.3428169014084507,0.5690140845070423,15.38112676056338,3.5732381942230376,1.9900861676846042,0.28251413260888075,0.04751127590833668,3550
1,2021,2.0,4.0,0.2,45,0.010356808582152141,0.056861804222648756,2.254445940665128,0.024839137896576827,0.40695736062629584,0.08816901408450704,0.3428169014084507,0.5690140845070423,15.38112676056338,3.5732381942230376,1.9900861676846042,0.28251413260888075,0.04751127590833668,3550
1,2021,2.0,4.0,0.2,60,0.010356808582152141,0.056861804222648756,2.254445940665128,0.024839137896576827,0.40695736062629584,0.08816901408450704,0.3428169014084507,0.5690140845070423,15.38112676056338,3.5732381942230376,1.9900861676846042,0.28251413260888075,0.04751127590833668,3550
3,2023,1.5,3.0,0.2,30,0.006459672561707656,0.06667794889152141,2.024681955288394,0.013971830087401426,0.2649952594682716,0.06317774634606317,0.4332861857614333,0.5035360678925035,13.286657237152287,3.8568269065083443,1.9869135858581581,0.23240810785197932,0.050439592663366416,2121
3,2023,1.5,3.0,0.2,45,0.006459672561707656,0.06667794889152141,2.024681955288394,0.013971830087401426,0.2649952594682716,0.06317774634606317,0.4332861857614333,0.5035360678925035,13.286657237152287,3.8568269065083443,1.9869135858581581,0.23240810785197932,0.050439592663366416,2121
3,2023,1.5,3.0,0.2,60,0.006459672561707656,0.06667794889152141,2.024681955288394,0.013971830087401426,0.2649952594682716,0.06317774634606317,0.4332861857614333,0.5035360678925035,13.286657237152287,3.8568269065083443,1.9869135858581581,0.23240810785197932,0.050439592663366416,2121
3,2023,2.0,3.0,0.2,30,0.007812766462130392,0.07006261634794382,2.0177427538019677,0.015376623723925759,0.26295576283629907,0.066006600660066,0.3521923620933522,0.5818010372465818,14.735973597359736,3.1768646159064087,1.9847396351137498,0.23745925444227126,0.04473670864437988,2121
3,2023,2.0,3.0,0.2,45,0.007812766462130392,0.07006261634794382,2.0177427538019677,0.015376623723925759,0.26295576283629907,0.066006600660066,0.3521923620933522,0.5818010372465818,14.735973597359736,3.1768646159064087,1.9847396351137498,0.23745925444227126,0.04473670864437988,2121
3,2023,2.0,3.0,0.2,60,0.007812766462130392,0.07006261634794382,2.0177427538019677,0.015376623723925759,0.26295576283629907,0.066006600660066,0.3521923620933522,0.5818010372465818,14.735973597359736,3.1768646159064087,1.9847396351137498,0.23745925444227126,0.04473670864437988,2121
5,2025,1.0,2.0,0.2,30,-0.0010187643852685307,0.051596638655462185,2.0836382961448474,0.00839220980978031,0.1927498572799212,0.06278713629402756,0.5482388973966309,0.3889739663093415,10.971924451250638,4.510683743313106,1.9792677032938923,0.25006979271007146,0.05934870855983156,1959
