fold,test_year,k_sl,k_tp,min_tp,train_expectancy,train_win_rate,test_expectancy,test_risk_adj_return,test_win_rate,test_loss_rate,test_avg_days,test_risk_reward,test_trades
5,2025,2.0,2.0,0.15,0.000758995111422597,0.10824742268041238,0.01002426127509449,0.1930416409473538,0.14186977082575483,0.327028010185522,13.085849399781738,2.056209387122282,2749
4,2024,2.0,3.0,0.15,0.012927694874741158,0.1292733343933853,0.009890389214854474,0.17804409919487618,0.11424731182795698,0.38676075268817206,13.998655913978494,2.605812237486747,2976
4,2024,2.0,2.0,0.2,0.012488421979692726,0.0763237398632533,0.00973073579073102,0.16997216117133998,0.06854838709677419,0.38676075268817206,14.426747311827956,3.1943898663892556,2976
5,2025,1.5,4.0,0.2,0.0004328216442032809,0.05154639175257732,0.009684147872649478,0.19713999619401057,0.07166242269916333,0.4252455438341215,12.379046926154965,3.642163841843674,2749
5,2025,1.5,3.0,0.2,4.81406572340054e-05,0.05429553264604811,0.009616667124405533,0.1970634478228032,0.08257548199345216,0.4241542379046926,12.297562750090941,3.425263937872731,2749
4,2024,2.0,2.0,0.15,0.012460405392257692,0.13642868500556526,0.009505687788399313,0.1720397125343447,0.12029569892473119,0.3860887096774194,13.92372311827957,2.487287280011232,2976
5,2025,1.5,2.0,0.2,3.735915411836807e-05,0.05618556701030928,0.009451968734675048,0.1945517125329412,0.08584939978173882,0.4241542379046926,12.242997453619498,3.3224642761300944,2749
5,2025,1.5,3.0,0.15,-2.420908878453948e-05,0.09587628865979382,0.00909945918104708,0.1919790512791839,0.12259003273917789,0.4216078574026919,11.944343397599127,2.772453901125188,2749
5,2025,1.5,4.0,0.15,0.00037006248055757376,0.0852233676975945,0.009097048839178678,0.18880021538222688,0.10076391415060022,0.42488177519097853,12.142233539468897,3.0434303067014756,2749
5,2025,1.25,4.0,0.2,0.00018066518519672947,0.05017182130584193,0.008732768482266909,0.1918622276665325,0.06911604219716261,0.48635867588213894,11.469989086940705,4.222829256118389,2749
5,2025,1.25,3.0,0.2,-0.0002622362109570425,0.05240549828178694,0.008686041694200758,0.19218262572897432,0.07966533284830847,0.4852673699527101,11.389596216806112,3.9698881187319777,2749
5,2025,1.25,2.0,0.2,-0.00016084530458066945,0.05429553264604811,0.008640315913752847,0.19205421191748884,0.08293925063659513,0.4849036013095671,11.337213532193525,3.8656940087365808,2749
5,2025,1.5,2.0,0.15,-4.9392704242113075e-05,0.1013745704467354,0.008363768070158671,0.17897580091638957,0.1345943979628956,0.420516551473263,11.77628228446708,2.5462619665322626,2749
5,2025,1.25,3.0,0.15,-0.0003100281736458429,0.09243986254295533,0.00818722488545752,0.18682665738688076,0.11858857766460532,0.48272098945070935,11.043288468534012,3.210152847030075,2749
5,2025,1.25,4.0,0.15,0.00012525985389692275,0.08264604810996563,0.008156500071231962,0.18287856786567624,0.09712622771917061,0.485994907238996,11.239359767188068,3.5280719465366266,2749
4,2024,1.5,4.0,0.2,0.011878421165687124,0.06614724121481953,0.00768168485291458,0.15502112154386188,0.05981182795698925,0.5033602150537635,12.487231182795698,4.388439877854092,2976
5,2025,1.25,2.0,0.15,-0.00023124425330884463,0.09776632302405498,0.007623840080438687,0.17654688176646294,0.13022917424518007,0.48090214623499455,10.882138959621681,2.9606142612609867,2749
4,2024,1.5,4.0,0.15,0.012164766899558845,0.10876132930513595,0.00761579434577031,0.15810325816468196,0.09778225806451613,0.5033602150537635,12.13877688172043,3.51010464006076,2976
4,2024,1.5,3.0,0.2,0.011466131317034032,0.0705994593735093,0.007230415732554923,0.1464462348951044,0.06317204301075269,0.5026881720430108,12.441868279569892,4.162827544289688,2976
